"","SiteID","sampledate","cyano_relabund","CD_cellsmL"
"1","BUO",2015-06-05,98.53,133463
"2","BUO",2015-06-11,99.15,112359
"3","BUO",2015-06-18,99.38,92736
"4","BUO",2015-06-22,95.94,31178
"5","BUO",2015-06-26,95.92,152979
"6","BUO",2015-07-15,96.91,328629
"7","BUO",2015-08-21,82.03,45394
"8","BUO",2015-09-02,85.24,35689
"9","BUO",2015-09-09,84.39,26344
"10","BUO",2015-09-16,87.04,92197
"11","BUO",2015-09-23,89.34,49816
"12","BUO",2015-11-03,90.23,11344
"13","BUO",2015-11-24,5.26,33
"14","BUO",2015-12-08,73.23,795
"15","BUO",2016-05-25,8.71,2378
"16","BUO",2016-05-31,97.25,168551
"17","BUO",2016-06-20,98.28,237929
"18","BUO",2016-07-01,94.8,263967
"19","BUO",2016-09-28,96.51,63385
"20","BUO",2017-04-26,43.36,1949
"21","BUO",2017-05-03,51.92,849
"22","BUO",2017-05-17,91.2,29017
"23","BUO",2017-05-31,87.34,54482
"24","BUO",2017-06-05,92.63,511101
"25","BUO",2017-07-05,99.5,397925
"26","BUO",2017-07-12,99.53,1119565
"27","BUO",2017-07-26,99.01,126719
"28","BUO",2017-08-09,96.18,49942
"29","BUO",2017-08-30,99.2,549616
"30","EFL",2010-03-29,97.42,35
"31","EFL",2010-04-19,4.52,79
"32","EFL",2010-04-26,65.37,51
"33","EFL",2010-05-03,13.8,249
"34","EFL",2010-05-17,87.15,21
"35","EFL",2010-05-24,85.18,176
"36","EFL",2010-12-27,43.86,16
"37","EFL",2011-05-26,82.71,2322
"38","EFL",2013-05-22,0,0
"39","EFL",2013-06-20,100,255875
"40","EFL",2013-08-20,100,561960
"41","EFL",2013-09-03,100,477282
"42","EFL",2013-09-24,100,451755
"43","EFL",2013-10-12,99.99,80650
"44","EFL",2013-11-04,100,8160
"45","EFL",2013-11-20,100,5170
"46","EFL",2013-12-04,100,3017
"47","EFL",2013-12-18,100,2534
"48","EFL",2014-06-27,96.72,371209
"49","EFL",2015-06-11,98.62,73973
"50","EFL",2015-07-15,87.17,13835
"51","EFL",2015-11-24,20.83,66
"52","EFL",2015-12-08,59.15,364
"53","EFL",2016-05-25,44.82,29139
"54","EFL",2017-04-26,14.71,157
"55","EFL",2017-05-17,94.1,57669
"56","EFL",2017-05-31,92.65,44400
"57","EMB",1992-05-05,25.08,981
"58","EMB",1993-05-05,37.9,5287
"59","EMB",1995-06-01,0.39,16
"60","EMB",1995-07-12,70.8,5363
"61","EMB",1995-08-09,73.51,3432
"62","EMB",1995-09-21,36.51,1103
"63","EMB",1998-05-22,1.08,146
"64","EMB",1998-06-25,57.85,6634
"65","EMB",1999-05-11,4.67,67
"66","EMB",1999-06-10,89.99,3039
"67","EMB",2000-04-26,0.98,40
"68","EMB",2000-06-01,46.13,2593
"69","EMB",2001-05-14,5.26,579
"70","EMB",2001-05-15,12.5,258
"71","EMB",2003-05-01,9.94,425
"72","EMB",2003-06-05,18.56,385
"73","EMB",2005-04-13,0.58,2
"74","EMB",2005-05-19,2.98,187
"75","EMB",2013-05-22,0,0
"76","EMB",2013-06-20,100,762071
"77","EMB",2013-07-02,100,2138750
"78","EMB",2013-07-17,100,268567
"79","EMB",2013-08-05,100,343281
"80","EMB",2013-08-20,100,520979
"81","EMB",2013-10-12,100,96829
"82","EMB",2013-11-04,100,5540
"83","EMB",2013-11-20,100,3417
"84","EMB",2013-12-04,0,0
"85","EMB",2014-06-27,95.82,210946
"86","EMB",2015-06-11,98.27,118929
"87","EMB",2015-06-22,97.76,85762
"88","EMB",2015-06-26,93.2,244598
"89","EMB",2015-07-15,95.64,170524
"90","EMB",2015-08-21,91.2,181500
"91","EMB",2015-09-02,85,33386
"92","EMB",2015-09-09,90.96,47241
"93","EMB",2015-09-16,71.18,27531
"94","EMB",2015-09-23,67.2,37375
"95","EMB",2015-11-03,51.06,797
"96","EMB",2015-11-24,20.83,66
"97","EMB",2015-12-08,13.96,198
"98","EMB",2016-02-23,57.14,133
"99","EMB",2016-05-25,25.5,16730
"100","EMB",2016-05-31,85.15,24495
"101","EMB",2016-06-20,98.07,231709
"102","EMB",2016-07-01,90.69,128663
"103","EMB",2016-09-28,94.57,74068
"104","EMB",2017-05-03,62.92,1761
"105","EMB",2017-05-17,92.99,43385
"106","EMB",2017-05-31,77.02,7482
"107","EMB",2017-06-05,88.56,100778
"108","EMB",2017-06-19,99.09,127072
"109","EMB",2017-07-05,99.7,417842
"110","EMB",2017-07-12,99.25,396519
"111","EMB",2017-07-26,98.38,82045
"112","EMB",2017-08-09,98.78,251063
"113","EMB",2017-08-30,98.91,564061
"114","ENN",2010-05-13,33.6,314
"115","ENN",2012-05-24,79.28,52908
"116","ENN",2013-05-22,0,0
"117","ENN",2013-06-20,100,10096714
"118","ENN",2013-07-17,99.99,200817
"119","ENN",2013-08-05,99.98,889359
"120","ENN",2013-09-24,99.98,488197
"121","ENN",2013-11-04,100,16366
"122","ENN",2013-11-20,100,100
"123","ENN",2013-12-18,100,2000
"124","ENN",2014-06-27,99.2,556435
"125","ENN",2015-06-05,94.29,73067
"126","ENN",2015-06-11,98.17,149412
"127","ENN",2015-06-18,96.82,44753
"128","ENN",2015-06-22,93.81,52035
"129","ENN",2015-06-26,96.12,132161
"130","ENN",2015-07-15,96.38,240500
"131","ENN",2015-08-21,69.37,40816
"132","ENN",2015-08-28,94.04,64030
"133","ENN",2015-09-02,90.15,69130
"134","ENN",2015-09-09,80.28,30497
"135","ENN",2015-09-16,81.59,77763
"136","ENN",2015-09-23,85.23,61922
"137","ENN",2015-11-03,83.34,5142
"138","ENN",2015-12-08,22.81,265
"139","ENN",2016-05-31,6.73,1203
"140","ENN",2016-06-20,93.69,171888
"141","ENN",2016-07-01,91.91,148471
"142","ENN",2016-09-28,96.61,108520
"143","ENN",2017-02-08,10.14,195
"144","ENN",2017-05-17,87.82,18816
"145","ENN",2017-05-31,73,11129
"146","ENN",2017-06-05,93.95,169653
"147","ENN",2017-06-19,98.73,127530
"148","ENN",2017-07-05,98.39,356368
"149","ENN",2017-07-12,99.86,1571728
"150","ENN",2017-07-26,97.37,45296
"151","ENN",2017-08-09,95.5,69993
"152","ENN",2017-08-30,97.65,433012
