"","Yr","daynum_bin","sampledate.x","Chla_ugL","sampledate.y","CD_cellsmL"
"1",2015,181,2015-06-30,12.54,2015-06-30,19876
"2",2015,181,2015-06-30,2.42,2015-06-30,19876
"3",2015,181,2015-06-30,4.63,2015-06-30,19876
"4",2015,181,2015-06-30,14.57,2015-06-30,19876
"5",2015,182,NA,14.4338095238095,NA,40459.5333333333
"6",2015,183,NA,14.297619047619,NA,61043.0666666667
"7",2015,184,NA,14.1614285714286,NA,81626.6
"8",2015,185,NA,14.0252380952381,NA,102210.133333333
"9",2015,186,NA,13.8890476190476,NA,122793.666666667
"10",2015,187,NA,13.7528571428571,NA,143377.2
"11",2015,188,NA,13.6166666666667,NA,163960.733333333
"12",2015,189,NA,13.4804761904762,NA,184544.266666667
"13",2015,190,NA,13.3442857142857,NA,205127.8
"14",2015,191,NA,13.2080952380952,NA,225711.333333333
"15",2015,192,NA,13.0719047619048,NA,246294.866666667
"16",2015,193,NA,12.9357142857143,NA,266878.4
"17",2015,194,NA,12.7995238095238,NA,287461.933333333
"18",2015,195,NA,12.6633333333333,NA,308045.466666667
"19",2015,196,NA,12.5271428571429,2015-07-15,328629
"20",2015,197,NA,12.3909523809524,NA,315781.333333333
"21",2015,198,NA,12.2547619047619,NA,302933.666666667
"22",2015,199,NA,12.1185714285714,NA,290086
"23",2015,200,NA,11.982380952381,NA,277238.333333333
"24",2015,201,NA,11.8461904761905,NA,264390.666666667
"25",2015,202,2015-07-21,11.71,2015-07-21,251543
"26",2015,202,2015-07-21,28.48,2015-07-21,251543
"27",2015,202,2015-07-21,0.79,2015-07-21,251543
"28",2015,202,2015-07-21,40.19,2015-07-21,251543
"29",2015,203,NA,38.9290909090909,NA,253243.181818182
"30",2015,204,NA,37.6681818181818,NA,254943.363636364
"31",2015,205,NA,36.4072727272727,NA,256643.545454545
"32",2015,206,NA,35.1463636363636,NA,258343.727272727
"33",2015,207,NA,33.8854545454545,NA,260043.909090909
"34",2015,208,NA,32.6245454545455,NA,261744.090909091
"35",2015,209,NA,31.3636363636364,NA,263444.272727273
"36",2015,210,NA,30.1027272727273,NA,265144.454545455
"37",2015,211,NA,28.8418181818182,NA,266844.636363636
"38",2015,212,NA,27.5809090909091,NA,268544.818181818
"39",2015,213,NA,26.32,NA,270245
"40",2015,214,NA,25.0590909090909,NA,271945.181818182
"41",2015,215,NA,23.7981818181818,NA,273645.363636364
"42",2015,216,NA,22.5372727272727,NA,275345.545454545
"43",2015,217,NA,21.2763636363636,NA,277045.727272727
"44",2015,218,NA,20.0154545454545,NA,278745.909090909
"45",2015,219,NA,18.7545454545455,NA,280446.090909091
"46",2015,220,NA,17.4936363636364,NA,282146.272727273
"47",2015,221,NA,16.2327272727273,NA,283846.454545455
"48",2015,222,NA,14.9718181818182,NA,285546.636363636
"49",2015,223,NA,13.7109090909091,NA,287246.818181818
"50",2015,224,2015-08-12,12.45,2015-08-12,288947
"51",2015,224,2015-08-12,19.99,2015-08-12,288947
"52",2015,224,2015-08-12,8.17,2015-08-12,288947
"53",2015,224,2015-08-12,17.72,2015-08-12,288947
"54",2015,225,NA,17.4485,NA,261885.555555556
"55",2015,226,NA,17.177,NA,234824.111111111
"56",2015,227,NA,16.9055,NA,207762.666666667
"57",2015,228,NA,16.634,NA,180701.222222222
"58",2015,229,NA,16.3625,NA,153639.777777778
"59",2015,230,NA,16.091,NA,126578.333333333
"60",2015,231,NA,15.8195,NA,99516.8888888889
"61",2015,232,NA,15.548,NA,72455.4444444445
"62",2015,233,NA,15.2765,2015-08-21,45394
"63",2015,234,NA,15.005,NA,56540.6363636364
"64",2015,235,NA,14.7335,NA,67687.2727272727
"65",2015,236,NA,14.462,NA,78833.9090909091
"66",2015,237,NA,14.1905,NA,89980.5454545455
"67",2015,238,NA,13.919,NA,101127.181818182
"68",2015,239,NA,13.6475,NA,112273.818181818
"69",2015,240,NA,13.376,NA,123420.454545455
"70",2015,241,NA,13.1045,NA,134567.090909091
"71",2015,242,NA,12.833,NA,145713.727272727
"72",2015,243,NA,12.5615,NA,156860.363636364
"73",2015,244,2015-09-01,12.29,2015-09-01,168007
"74",2015,244,2015-09-01,7.16,2015-09-01,168007
"75",2015,244,2015-09-01,16.64,2015-09-01,168007
"76",2015,244,2015-09-01,4.18,2015-09-01,168007
"77",2015,245,NA,4.74489473684211,2015-09-02,35689
"78",2016,181,NA,5.30978947368421,NA,111781.666666667
"79",2016,182,NA,5.87468421052632,NA,187874.333333333
"80",2016,183,NA,6.43957894736842,2016-07-01,263967
"81",2016,184,NA,7.00447368421053,NA,329891.692307692
"82",2016,185,NA,7.56936842105263,NA,395816.384615385
"83",2016,186,NA,8.13426315789474,NA,461741.076923077
"84",2016,187,NA,8.69915789473684,NA,527665.769230769
"85",2016,188,NA,9.26405263157895,NA,593590.461538462
"86",2016,189,NA,9.82894736842105,NA,659515.153846154
"87",2016,190,NA,10.3938421052632,NA,725439.846153846
"88",2016,191,NA,10.9587368421053,NA,791364.538461538
"89",2016,192,NA,11.5236315789474,NA,857289.230769231
"90",2016,193,NA,12.0885263157895,NA,923213.923076923
"91",2016,194,NA,12.6534210526316,NA,989138.615384615
"92",2016,195,NA,13.2183157894737,NA,1055063.30769231
"93",2016,196,NA,13.7832105263158,NA,1120988
"94",2016,197,NA,14.3481052631579,NA,1186912.69230769
"95",2016,198,NA,14.913,NA,1252837.38461538
"96",2016,199,NA,15.4778947368421,NA,1318762.07692308
"97",2016,200,NA,16.0427894736842,NA,1384686.76923077
"98",2016,201,NA,16.6076842105263,NA,1450611.46153846
"99",2016,202,NA,17.1725789473684,NA,1516536.15384615
"100",2016,203,NA,17.7374736842105,NA,1582460.84615385
"101",2016,204,NA,18.3023684210526,NA,1648385.53846154
"102",2016,205,NA,18.8672631578947,NA,1714310.23076923
"103",2016,206,NA,19.4321578947368,NA,1780234.92307692
"104",2016,207,NA,19.9970526315789,NA,1846159.61538462
"105",2016,208,NA,20.5619473684211,NA,1912084.30769231
"106",2016,209,NA,21.1268421052632,2016-07-27,1978009
"107",2016,210,NA,21.6917368421053,NA,1979640.625
"108",2016,211,NA,22.2566315789474,NA,1981272.25
"109",2016,212,NA,22.8215263157895,NA,1982903.875
"110",2016,213,NA,23.3864210526316,NA,1984535.5
"111",2016,214,NA,23.9513157894737,NA,1986167.125
"112",2016,215,NA,24.5162105263158,NA,1987798.75
"113",2016,216,NA,25.0811052631579,NA,1989430.375
"114",2016,217,2016-08-04,25.646,2016-08-04,1991062
"115",2016,217,2016-08-04,21.36,2016-08-04,1991062
"116",2016,217,2016-08-04,15.062,2016-08-04,1991062
"117",2016,217,2016-08-04,10.383,2016-08-04,1991062
"118",2016,218,NA,10.1529230769231,NA,1922016.69230769
"119",2016,219,NA,9.92284615384615,NA,1852971.38461538
"120",2016,220,NA,9.69276923076923,NA,1783926.07692308
"121",2016,221,NA,9.46269230769231,NA,1714880.76923077
"122",2016,222,NA,9.23261538461538,NA,1645835.46153846
"123",2016,223,NA,9.00253846153846,NA,1576790.15384615
"124",2016,224,NA,8.77246153846154,NA,1507744.84615385
"125",2016,225,NA,8.54238461538461,NA,1438699.53846154
"126",2016,226,NA,8.31230769230769,NA,1369654.23076923
"127",2016,227,NA,8.08223076923077,NA,1300608.92307692
"128",2016,228,NA,7.85215384615385,NA,1231563.61538462
"129",2016,229,NA,7.62207692307692,NA,1162518.30769231
"130",2016,230,NA,7.392,NA,1093473
"131",2016,231,NA,7.16192307692308,NA,1024427.69230769
"132",2016,232,NA,6.93184615384615,NA,955382.384615385
"133",2016,233,NA,6.70176923076923,NA,886337.076923077
"134",2016,234,NA,6.47169230769231,NA,817291.769230769
"135",2016,235,NA,6.24161538461538,NA,748246.461538462
"136",2016,236,NA,6.01153846153846,NA,679201.153846154
"137",2016,237,NA,5.78146153846154,NA,610155.846153846
"138",2016,238,NA,5.55138461538461,NA,541110.538461538
"139",2016,239,NA,5.32130769230769,NA,472065.230769231
"140",2016,240,NA,5.09123076923077,NA,403019.923076923
"141",2016,241,NA,4.86115384615385,NA,333974.615384615
"142",2016,242,NA,4.63107692307692,NA,264929.307692308
"143",2016,243,2016-08-30,4.401,2016-08-30,195884
"144",2016,243,2016-08-30,24.988,2016-08-30,195884
"145",2016,243,2016-08-30,19.169,2016-08-30,195884
"146",2016,243,2016-08-30,23.295,2016-08-30,195884
"147",2016,244,NA,22.9206216216216,NA,221139.125
"148",2016,245,NA,22.5462432432432,NA,246394.25
"149",2017,181,NA,22.1718648648649,NA,271649.375
"150",2017,182,NA,21.7974864864865,NA,296904.5
"151",2017,183,NA,21.4231081081081,NA,322159.625
"152",2017,184,NA,21.0487297297297,NA,347414.75
"153",2017,185,NA,20.6743513513514,NA,372669.875
"154",2017,186,NA,20.299972972973,2017-07-05,397925
"155",2017,187,NA,19.9255945945946,NA,501016.428571429
"156",2017,188,NA,19.5512162162162,NA,604107.857142857
"157",2017,189,NA,19.1768378378378,NA,707199.285714286
"158",2017,190,NA,18.8024594594595,NA,810290.714285714
"159",2017,191,NA,18.4280810810811,NA,913382.142857143
"160",2017,192,NA,18.0537027027027,NA,1016473.57142857
"161",2017,193,NA,17.6793243243243,2017-07-12,1119565
"162",2017,194,NA,17.3049459459459,NA,1213648.625
"163",2017,195,NA,16.9305675675676,NA,1307732.25
"164",2017,196,NA,16.5561891891892,NA,1401815.875
"165",2017,197,NA,16.1818108108108,NA,1495899.5
"166",2017,198,NA,15.8074324324324,NA,1589983.125
"167",2017,199,NA,15.4330540540541,NA,1684066.75
"168",2017,200,NA,15.0586756756757,NA,1778150.375
"169",2017,201,NA,14.6842972972973,2017-07-20,1872234
"170",2017,202,NA,14.3099189189189,NA,1581314.83333333
"171",2017,203,NA,13.9355405405405,NA,1290395.66666667
"172",2017,204,NA,13.5611621621622,NA,999476.5
"173",2017,205,NA,13.1867837837838,NA,708557.333333333
"174",2017,206,NA,12.8124054054054,NA,417638.166666667
"175",2017,207,NA,12.438027027027,2017-07-26,126719
"176",2017,208,NA,12.0636486486486,NA,328999.25
"177",2017,209,NA,11.6892702702703,NA,531279.5
"178",2017,210,NA,11.3148918918919,NA,733559.75
"179",2017,211,NA,10.9405135135135,NA,935840
"180",2017,212,NA,10.5661351351351,NA,1138120.25
"181",2017,213,NA,10.1917567567568,NA,1340400.5
"182",2017,214,NA,9.81737837837838,NA,1542680.75
"183",2017,215,2017-08-03,9.443,2017-08-03,1744961
"184",2017,215,2017-08-03,89.638,2017-08-03,1744961
"185",2017,215,2017-08-03,86.757,2017-08-03,1744961
"186",2017,215,2017-08-03,76.197,2017-08-03,1744961
