"","MoYr","HE_ratio_TotP_mgL","HE_ratio_DisP_mgL","TotP_mgL_Epi","TotP_mgL_Hypo","DisP_mgL_Epi","DisP_mgL_Hypo"
"1",10592,1.81818181818182,1.8125,0.132,0.24,0.128,0.232
"2",10957,0.982905982905983,0.96039603960396,0.117,0.115,0.101,0.097
"3",11323,1.87313432835821,1.875,0.134,0.251,0.12,0.225
"4",12053,1,0.974358974358974,0.091,0.091,0.078,0.076
"5",12784,1.13223140495868,1.11340206185567,0.121,0.137,0.097,0.108
"6",13514,0.984962406015038,0.991304347826087,0.133,0.131,0.115,0.114
"7",14245,0.164473684210526,0,0.152,0.025,0.127,0
"8",14975,2.47311827956989,2.91549295774648,0.093,0.23,0.071,0.207
"9",16801,1.27586206896552,1.5,0.087,0.111,0.052,0.078
"10",17532,1.32727272727273,1.65853658536585,0.11,0.146,0.082,0.136
"11",9527,2.47747747747748,2.72,0.111,0.275,0.1,0.272
"12",9893,1.22764227642276,2.01724137931034,0.123,0.151,0.116,0.234
"13",10623,1.72992700729927,1.71544715447154,0.137,0.237,0.123,0.211
"14",10988,1.8018018018018,1.82417582417582,0.111,0.2,0.091,0.166
"15",12449,0.920353982300885,1,0.113,0.104,0.097,0.097
"16",13545,1.34645669291339,1.28571428571429,0.127,0.171,0.112,0.144
"17",13910,1.28275862068966,1.28688524590164,0.145,0.186,0.122,0.157
"18",14641,0.941176470588235,0.928571428571428,0.136,0.128,0.112,0.104
"19",16467,2.15315315315315,3.01538461538462,0.111,0.239,0.065,0.196
"20",17198,1.63120567375887,1.9,0.141,0.23,0.09,0.171
"21",11017,1.02702702702703,1.01123595505618,0.111,0.114,0.089,0.09
"22",11382,0.936619718309859,1.28571428571429,0.142,0.133,0.091,0.117
"23",11747,1,0.985294117647059,0.104,0.104,0.068,0.067
"24",10317,1.37719298245614,1.68421052631579,0.114,0.157,0.076,0.128
"25",10682,1.02262443438914,1,0.1105,0.113,0.095,0.095
"26",11048,1.24096385542169,1.01851851851852,0.083,0.103,0.054,0.055
"27",11413,0.962566844919786,1.08,0.0935,0.09,0.05,0.054
"28",11778,0.888888888888889,0.981818181818182,0.0855,0.076,0.055,0.054
"29",12143,1.13397129186603,1.03448275862069,0.0696666666666667,0.079,0.0483333333333333,0.05
"30",12509,1.11258278145695,1.10588235294118,0.0755,0.084,0.0425,0.047
"31",12874,1.09236947791165,1.1005291005291,0.1245,0.136,0.0945,0.104
"32",13239,0.989247311827957,0.991525423728814,0.1395,0.138,0.118,0.117
"33",13604,1.09259259259259,1.06172839506173,0.108,0.118,0.081,0.086
"34",13970,1.6,1.54285714285714,0.085,0.136,0.0175,0.027
"35",14335,0.453674121405751,0.907630522088353,0.1565,0.071,0.1245,0.113
"36",14700,0.843373493975904,1.75,0.083,0.07,0.016,0.028
"37",15065,1.03030303030303,1.28571428571429,0.066,0.068,0.007,0.009
"38",15431,1.05882352941176,2.69230769230769,0.051,0.054,0.013,0.035
"39",15796,1.14285714285714,2,0.07,0.08,0.01,0.02
"40",16161,1,0.75,0.08,0.08,0.04,0.03
"41",16526,0.819672131147541,1.20689655172414,0.0915,0.075,0.029,0.035
"42",16892,1.44444444444444,2.6,0.045,0.065,0.005,0.013
"43",17622,0.949275362318841,0.876712328767123,0.138,0.131,0.073,0.064
"44",9251,0.923076923076923,NA,0.091,0.084,0.063,NA
"45",10712,1.2,1.28735632183908,0.1075,0.129,0.087,0.112
"46",11078,1.42446043165468,1.90697674418605,0.0695,0.099,0.043,0.082
"47",11443,1.63855421686747,1.58823529411765,0.083,0.136,0.068,0.108
"48",11808,1.13636363636364,1.05109489051095,0.088,0.1,0.0685,0.072
"49",12173,1.09615384615385,0.975,0.052,0.057,0.04,0.039
"50",12539,1.35766423357664,1.45263157894737,0.0685,0.093,0.0475,0.069
"51",12904,0.722044728434505,1.07865168539326,0.1565,0.113,0.089,0.096
"52",13269,1.21791044776119,1.18705035971223,0.111666666666667,0.136,0.0926666666666667,0.11
"53",13634,1.34615384615385,1.38842975206612,0.078,0.105,0.0605,0.084
"54",14000,1.37614678899083,1.29268292682927,0.0545,0.075,0.041,0.053
"55",14365,1.09157509157509,1.32984293193717,0.1365,0.149,0.0955,0.127
"56",14730,0.974789915966387,0.714285714285714,0.0595,0.058,0.035,0.025
"57",15095,1.16326530612245,1.26470588235294,0.0653333333333333,0.076,0.034,0.043
"58",15461,2,2.49107142857143,0.059,0.118,0.0373333333333333,0.093
"59",15826,1.27272727272727,1.5,0.055,0.07,0.02,0.03
"60",16191,1.38461538461538,3.33333333333333,0.065,0.09,0.015,0.05
"61",16556,1.72847682119205,4.41176470588235,0.0503333333333333,0.087,0.0113333333333333,0.05
"62",16922,1.5531914893617,1.73333333333333,0.047,0.073,0.0225,0.039
"63",17287,1.42465753424658,2.36363636363636,0.073,0.104,0.033,0.078
"64",17652,1.43529411764706,11.7333333333333,0.085,0.122,0.0075,0.088
"65",9282,4.03787878787879,7.84905660377359,0.066,0.2665,0.0265,0.208
"66",9648,2.05405405405405,2.30656934306569,0.0925,0.19,0.0685,0.158
"67",10013,1.97191011235955,2.38709677419355,0.089,0.1755,0.062,0.148
"68",10378,2.45378151260504,5.35849056603774,0.119,0.292,0.053,0.284
"69",10743,2.3876404494382,2.8015873015873,0.089,0.2125,0.063,0.1765
"70",11109,1.5,2.08870967741935,0.1,0.15,0.062,0.1295
"71",11474,2.28191489361702,3.32575757575758,0.094,0.2145,0.066,0.2195
"72",11839,2.21333333333333,2.58771929824561,0.075,0.166,0.057,0.1475
"73",12204,4.93103448275862,30.75,0.029,0.143,0.004,0.123
"74",12570,2.08823529411765,3.08433734939759,0.068,0.142,0.0415,0.128
"75",12935,2.17197452229299,3.85714285714286,0.0785,0.1705,0.042,0.162
"76",13300,3.59558823529412,6.6,0.068,0.2445,0.0325,0.2145
"77",13665,3.57446808510638,6.59375,0.0705,0.252,0.032,0.211
"78",14031,2.12682926829268,3.82291666666667,0.1025,0.218,0.048,0.1835
"79",14396,1.31698113207547,1.97810218978102,0.1325,0.1745,0.0685,0.1355
"80",14761,5.83116883116883,Inf,0.0385,0.2245,0,0.1915
"81",15126,2.97727272727273,4.0609756097561,0.066,0.1965,0.041,0.1665
"82",15492,6.91891891891892,57,0.037,0.256,0.004,0.228
"83",15857,8,23,0.035,0.28,0.01,0.23
"84",16222,3,27,0.055,0.165,0.005,0.135
"85",16587,3.42982456140351,12.5,0.057,0.1955,0.014,0.175
"86",16953,7.24489795918367,Inf,0.0245,0.1775,0,0.1395
"87",17318,2.93421052631579,9.52941176470588,0.076,0.223,0.017,0.162
"88",17683,2.96268656716418,7.46938775510204,0.067,0.1985,0.0245,0.183
"89",9312,10.0131578947368,250.666666666667,0.038,0.3805,0.0015,0.376
"90",9678,4.33064516129032,22.2608695652174,0.062,0.2685,0.0115,0.256
"91",10043,4.89051094890511,7.73809523809524,0.0685,0.335,0.042,0.325
"92",10408,5.64462809917355,30.5,0.0605,0.3415,0.01,0.305
"93",10773,6.20325203252033,28.68,0.0615,0.3815,0.0125,0.3585
"94",11139,6.47844827586207,19.5294117647059,0.058,0.37575,0.017,0.332
"95",11504,11.1730769230769,51.554347826087,0.039,0.43575,0.00766666666666667,0.39525
"96",11869,14.9423076923077,Inf,0.026,0.3885,0,0.344
"97",12234,13.2444444444444,171,0.0225,0.298,0.0015,0.2565
"98",12600,5.87142857142857,25.2,0.035,0.2055,0.0075,0.189
"99",12965,6.84259259259259,Inf,0.054,0.3695,0,0.3245
"100",13330,9.24358974358974,223,0.039,0.3605,0.0015,0.3345
"101",13695,15.719298245614,Inf,0.0285,0.448,0,0.42
"102",14061,2.19512195121951,10.2682926829268,0.1025,0.225,0.0205,0.2105
"103",14426,3.15584415584416,11.462962962963,0.1155,0.3645,0.027,0.3095
"104",14791,8.71428571428572,Inf,0.042,0.366,0,0.3045
"105",15156,13.9433962264151,Inf,0.0265,0.3695,0,0.3115
"106",15522,23.6666666666667,Inf,0.018,0.426,0,0.3795
"107",15887,9,Inf,0.035,0.315,0,0.265
"108",16252,6.1,Inf,0.05,0.305,0,0.23
"109",16617,8.6046511627907,Inf,0.043,0.37,0,0.317
"110",16983,19.0625,Inf,0.024,0.4575,0,0.283
"111",17348,6.66666666666667,98.8,0.0465,0.31,0.0025,0.247
"112",17713,6.78048780487805,Inf,0.041,0.278,0,0.2495
"113",9343,19.18,638.25,0.025,0.4795,0.000666666666666667,0.4255
"114",9709,12.5373134328358,420,0.0335,0.42,0.001,0.42
"115",10074,6.3265306122449,21.7692307692308,0.049,0.31,0.013,0.283
"116",10439,19,160.666666666667,0.026,0.494,0.0015,0.241
"117",10804,21.0878378378378,174.5625,0.037,0.78025,0.00266666666666667,0.4655
"118",11170,14.4634146341463,Inf,0.041,0.593,0,0.5495
"119",11535,18.2835820895522,479,0.0335,0.6125,0.001,0.479
"120",11900,12.2272727272727,Inf,0.022,0.269,0,0.4775
"121",12265,21.2926829268293,80,0.0205,0.4365,0.005,0.4
"122",12631,15,Inf,0.032,0.48,0,0.4425
"123",12996,20.1325301204819,357.9375,0.0276666666666667,0.557,0.00133333333333333,0.47725
"124",13361,23.7777777777778,Inf,0.0225,0.535,0,0.4825
"125",13726,23.734693877551,Inf,0.0245,0.5815,0,0.538
"126",14092,12.6477272727273,160.833333333333,0.044,0.5565,0.003,0.4825
"127",14457,8.09649122807018,Inf,0.057,0.4615,0,0.4135
"128",14822,15.7657894736842,Inf,0.0316666666666667,0.49925,0,0.44325
"129",15187,29.6470588235294,328,0.017,0.504,0.0015,0.492
"130",15553,29.1428571428571,Inf,0.0175,0.51,0,0.488
"131",15918,15.2,Inf,0.025,0.38,0,0.34
"132",16283,12.8333333333333,Inf,0.03,0.385,0,0.345
"133",16648,15.9433962264151,Inf,0.0265,0.4225,0,0.3435
"134",17014,18.952380952381,156.625,0.021,0.398,0.002,0.31325
"135",17379,11.8823529411765,101.571428571429,0.034,0.404,0.0035,0.3555
"136",17744,15.5581395348837,Inf,0.0215,0.3345,0,0.2985
"137",9740,26.7674418604651,260,0.0215,0.5755,0.002,0.52
"138",10105,15.6447368421053,7,0.038,0.5945,0.005,0.035
"139",10470,18.8169014084507,124.444444444444,0.0355,0.668,0.0045,0.56
"140",10835,11.8203125,27.8,0.064,0.7565,0.025,0.695
"141",11201,7.14880952380952,10.375,0.084,0.6005,0.056,0.581
"142",11566,6.61111111111111,12.8061224489796,0.099,0.6545,0.049,0.6275
"143",11931,25.2916666666667,Inf,0.024,0.607,0,0.54
"144",12296,19.6491228070175,106.611111111111,0.0285,0.56,0.009,0.9595
"145",12662,27.0714285714286,Inf,0.021,0.5685,0,0.521
"146",13027,23.5172413793103,316,0.029,0.682,0.002,0.632
"147",13392,26.5,175.125,0.026,0.689,0.004,0.7005
"148",13757,25.28,Inf,0.025,0.632,0,0.5935
"149",14123,19.8970588235294,Inf,0.034,0.6765,0,0.63625
"150",14488,9.02734375,28.9722222222222,0.064,0.57775,0.018,0.5215
"151",15218,32.175,Inf,0.02,0.6435,0,0.5615
"152",15584,43.6785714285714,Inf,0.014,0.6115,0,0.5495
"153",15949,18,Inf,0.025,0.45,0,0.41
"154",16314,20.25,Inf,0.02,0.405,0,0.365
"155",17410,17.6071428571429,450,0.028,0.493,0.001,0.45
"156",17775,16.4081632653061,Inf,0.0245,0.402,0,0.373
"157",10135,4.9047619047619,6.32075471698113,0.147,0.721,0.106,0.67
"158",10500,6.325,6.92307692307692,0.12,0.759,0.104,0.72
"159",10865,0.963235294117647,1,0.136,0.131,0.096,0.096
"160",11231,1.51449275362319,1.57522123893805,0.138,0.209,0.113,0.178
"161",11596,1.06164383561644,0.944,0.146,0.155,0.125,0.118
"162",11961,0.854838709677419,0.83,0.124,0.106,0.1,0.083
"163",12326,1.05555555555556,1.00961538461538,0.126,0.133,0.104,0.105
"164",12692,8.90322580645161,19,0.062,0.552,0.028,0.532
"165",13422,3.20338983050847,3.90058479532164,0.118,0.378,0.0855,0.3335
"166",13787,4.064039408867,5.40972222222222,0.1015,0.4125,0.072,0.3895
"167",14153,0.938775510204082,0.88,0.147,0.138,0.125,0.11
"168",14518,1.10365853658537,1.03597122302158,0.164,0.181,0.139,0.144
"169",14883,9.34848484848485,21.3461538461539,0.066,0.617,0.026,0.555
"170",15248,3.45273631840796,5.69724770642202,0.1005,0.347,0.0545,0.3105
"171",15614,7.09782608695652,17.4117647058824,0.046,0.3265,0.017,0.296
"172",15979,1,1,0.08,0.08,0.05,0.05
"173",16344,1.11111111111111,0.857142857142857,0.09,0.1,0.07,0.06
"174",16709,11.547619047619,81,0.042,0.485,0.006,0.486
"175",17075,11.3684210526316,76.6,0.038,0.432,0.005,0.383
"176",17440,24.7272727272727,Inf,0.022,0.544,0,0.538
"177",17805,3.30952380952381,5.84265734265734,0.084,0.278,0.0476666666666667,0.2785
"178",9801,0.996282527881041,1.07234042553191,0.1345,0.134,0.1175,0.126
"179",10166,1.04545454545455,1.01960784313725,0.154,0.161,0.153,0.156
"180",10896,1.00869565217391,0.989690721649485,0.115,0.116,0.097,0.096
"181",11262,1.00729927007299,1,0.137,0.138,0.123,0.123
"182",11627,0.970588235294118,0.991525423728814,0.136,0.132,0.118,0.117
"183",11992,0.985294117647059,0.976744186046512,0.102,0.1005,0.086,0.084
"184",12357,0.975206611570248,1.04210526315789,0.121,0.118,0.095,0.099
"185",12723,0.983471074380165,0.941176470588235,0.121,0.119,0.102,0.096
"186",13088,1.00961538461538,0.996336996336996,0.156,0.1575,0.1365,0.136
"187",13453,0.955555555555555,1,0.135,0.129,0.114,0.114
"188",13818,1.02083333333333,0.992063492063492,0.144,0.147,0.126,0.125
"189",14914,1.14893617021277,0.983870967741935,0.094,0.108,0.062,0.061
"190",15645,0.580357142857143,1.02777777777778,0.112,0.065,0.036,0.037
"191",16740,1,0.967213114754098,0.094,0.094,0.061,0.059
"192",17106,4.51162790697675,5.4,0.086,0.388,0.05,0.27
"193",17471,0.99009900990099,1,0.101,0.1,0.082,0.082
"194",17836,1.02325581395349,1.11675126903553,0.129,0.132,0.0985,0.11
"195",16040,1,1.2,0.08,0.08,0.05,0.06
"196",17501,1.01639344262295,1.03296703296703,0.122,0.124,0.091,0.094
