SiteID,Collection_Date,Depth_ft,Division,Genus,Species,FinalTaxaType, TaxaSpecific_Cell_Density_cellsmL , SampleSpecific_Cell_Relative_Abundance_perc , TaxaSpecific_Biovolume_Density_um3mL , SampleSpecific_Biovolume_Relative_Abundance_perc 
BUO,7/12/2018,10,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,78002.00,21.09,1627287.00,32.99
BUO,7/12/2018,10,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,12827.00,3.47,68000.00,1.38
BUO,8/2/2018,0,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,11913.00,1.87,979529.00,4.01
BUO,8/2/2018,0,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,15553.00,2.45,190870.00,0.78
BUO,8/2/2018,0,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,5957.00,0.94,131579.00,0.54
BUO,8/2/2018,0,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,43781.00,6.89,2807282.00,11.49
BUO,8/2/2018,0,Cyanobacteria,Merismopedia,NA,Cyanobacteria,51624.00,8.12,806631.00,3.3
BUO,8/2/2018,0,Cyanobacteria,Planktolyngbya,NA,Cyanobacteria,27533.00,4.33,164210.00,0.67
BUO,8/2/2018,0,Cyanobacteria,Planktothrix,NA,Cyanobacteria,339430.00,53.4,899734.00,3.68
BUO,8/2/2018,0,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,75699.00,11.91,1857937.00,7.6
BUO,8/2/2018,0,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,53279.00,8.38,282455.00,1.16
BUO,8/2/2018,5,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,19701.00,1.9,435184.00,1.76
BUO,8/2/2018,5,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,45396.00,4.37,557097.00,2.25
BUO,8/2/2018,5,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,37809.00,3.64,2424349.00,9.8
BUO,8/2/2018,5,Cyanobacteria,Merismopedia,NA,Cyanobacteria,78280.00,7.54,1223131.00,4.95
BUO,8/2/2018,5,Cyanobacteria,Planktolyngbya,NA,Cyanobacteria,72475.00,6.98,432249.00,1.75
BUO,8/2/2018,5,Cyanobacteria,Planktothrix,NA,Cyanobacteria,553538.00,53.3,1467273.00,5.93
BUO,8/2/2018,5,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,171399.00,16.5,4206776.00,17.01
BUO,8/2/2018,5,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,52816.00,5.09,279999.00,1.13
BUO,8/2/2018,10,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,15342.00,2.86,1261416.00,7.99
BUO,8/2/2018,10,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,6036.00,1.13,133333.00,0.85
BUO,8/2/2018,10,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,23956.00,4.46,293981.00,1.86
BUO,8/2/2018,10,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,17857.00,3.33,1144981.00,7.26
BUO,8/2/2018,10,Cyanobacteria,Merismopedia,NA,Cyanobacteria,76055.00,14.18,1188353.00,7.53
BUO,8/2/2018,10,Cyanobacteria,Planktolyngbya,NA,Cyanobacteria,14336.00,2.67,85500.00,0.54
BUO,8/2/2018,10,Cyanobacteria,Planktothrix,NA,Cyanobacteria,252723.00,47.1,669898.00,4.25
BUO,8/2/2018,10,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,79400.00,14.8,1948759.00,12.35
BUO,8/2/2018,10,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,43661.00,8.14,231466.00,1.47
BUO,6/6/2019,0,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,9843.00,27.03,543566.00,5.67
BUO,6/6/2019,0,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,5393.00,14.81,253151.00,2.64
BUO,6/6/2019,0,Cyanobacteria,Merismopedia,NA,Cyanobacteria,1497.00,4.11,23391.00,0.24
BUO,6/6/2019,0,Cyanobacteria,Planktothrix,NA,Cyanobacteria,8720.00,23.94,23115.00,0.24
BUO,6/6/2019,0,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,524.00,1.44,9645.00,0.1
BUO,6/6/2019,5,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,6853.00,15.86,378471.00,7.24
BUO,6/6/2019,5,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,8752.00,20.26,410832.00,7.85
BUO,6/6/2019,5,Cyanobacteria,Merismopedia,NA,Cyanobacteria,2641.00,6.11,41262.00,0.79
BUO,6/6/2019,5,Cyanobacteria,Microcystis,NA,Cyanobacteria,8237.00,19.06,227430.00,4.35
BUO,6/6/2019,5,Cyanobacteria,Planktothrix,NA,Cyanobacteria,9117.00,21.1,24167.00,0.46
BUO,6/6/2019,10,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,12066.00,24.3,666317.00,9.7
BUO,6/6/2019,10,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,5546.00,11.17,260312.00,3.79
BUO,6/6/2019,10,Cyanobacteria,Microcystis,NA,Cyanobacteria,472.00,0.95,13021.00,0.19
BUO,6/6/2019,10,Cyanobacteria,Planktothrix,NA,Cyanobacteria,20557.00,41.41,54491.00,0.79
BUO,6/6/2019,10,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,1635.00,3.29,30092.00,0.44
BUO,7/2/2019,0,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,5850.00,2.65,129219.00,1.45
BUO,7/2/2019,0,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,1114.00,0.5,9116.00,0.1
BUO,7/2/2019,0,Cyanobacteria,Aphanothece,NA,Cyanobacteria,29488.00,13.34,102530.00,1.15
BUO,7/2/2019,0,Cyanobacteria,Chroococcus,NA,Cyanobacteria,159.00,0.07,1302.00,0.01
BUO,7/2/2019,0,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,756.00,0.34,22269.00,0.25
BUO,7/2/2019,0,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,7712.00,3.49,764245.00,8.59
BUO,7/2/2019,0,Cyanobacteria,Limnothrix,NA,Cyanobacteria,4855.00,2.2,12869.00,0.14
BUO,7/2/2019,0,Cyanobacteria,Merismopedia,NA,Cyanobacteria,637.00,0.29,9949.00,0.11
BUO,7/2/2019,0,Cyanobacteria,Microcystis,NA,Cyanobacteria,4457.00,2.02,173204.00,1.95
BUO,7/2/2019,0,Cyanobacteria,Planktothrix,NA,Cyanobacteria,144957.00,65.57,806902.00,9.07
BUO,7/2/2019,0,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,16037.00,7.25,334573.00,3.76
BUO,7/2/2019,5,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,7803.00,4.49,172370.00,1.4
BUO,7/2/2019,5,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,1796.00,1.03,14697.00,0.12
BUO,7/2/2019,5,Cyanobacteria,Aphanothece,NA,Cyanobacteria,6288.00,3.62,21862.00,0.18
BUO,7/2/2019,5,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,281.00,0.16,8267.00,0.07
BUO,7/2/2019,5,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,16426.00,9.46,1627768.00,13.27
BUO,7/2/2019,5,Cyanobacteria,Limnothrix,NA,Cyanobacteria,2414.00,1.39,6399.00,0.05
BUO,7/2/2019,5,Cyanobacteria,Merismopedia,NA,Cyanobacteria,898.00,0.52,14035.00,0.11
BUO,7/2/2019,5,Cyanobacteria,Microcystis,NA,Cyanobacteria,2526.00,1.45,98173.00,0.8
BUO,7/2/2019,5,Cyanobacteria,Planktothrix,NA,Cyanobacteria,102398.00,58.95,569998.00,4.65
BUO,7/2/2019,5,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,24561.00,14.14,512392.00,4.18
BUO,7/2/2019,10,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,3435.00,1.13,75874.00,0.74
BUO,7/2/2019,10,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,2620.00,0.87,21433.00,0.21
BUO,7/2/2019,10,Cyanobacteria,Aphanothece,NA,Cyanobacteria,3668.00,1.21,12753.00,0.12
BUO,7/2/2019,10,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,1747.00,0.58,51440.00,0.5
BUO,7/2/2019,10,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,10829.00,3.58,1073063.00,10.44
BUO,7/2/2019,10,Cyanobacteria,Limnothrix,NA,Cyanobacteria,2271.00,0.75,6018.00,0.06
BUO,7/2/2019,10,Cyanobacteria,Merismopedia,NA,Cyanobacteria,233.00,0.08,3639.00,0.04
BUO,7/2/2019,10,Cyanobacteria,Microcystis,NA,Cyanobacteria,1805.00,0.6,70135.00,0.68
BUO,7/2/2019,10,Cyanobacteria,Planktothrix,NA,Cyanobacteria,244185.00,80.65,1359259.00,13.22
BUO,7/2/2019,10,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,22554.00,7.45,470520.00,4.58
BUO,7/2/2019,10,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,699.00,0.23,3704.00,0.04
BUO,7/18/2019,0,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,3430.00,1.42,194654.00,2.2
BUO,7/18/2019,0,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,7819.00,3.23,63973.00,0.72
BUO,7/18/2019,0,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,13375.00,5.52,393938.00,4.45
BUO,7/18/2019,0,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,5545.00,2.29,33068.00,0.37
BUO,7/18/2019,0,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,11289.00,4.66,263222.00,2.98
BUO,7/18/2019,0,Cyanobacteria,Microcystis,NA,Cyanobacteria,10495.00,4.33,248989.00,2.81
BUO,7/18/2019,0,Cyanobacteria,Planktothrix,NA,Cyanobacteria,157881.00,65.21,878847.00,9.93
BUO,7/18/2019,0,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,17902.00,7.39,439392.00,4.97
BUO,7/18/2019,0,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,8322.00,3.44,44121.00,0.5
BUO,7/18/2019,5,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,6557.00,3.54,372160.00,4.38
BUO,7/18/2019,5,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,7545.00,4.07,61728.00,0.73
BUO,7/18/2019,5,Cyanobacteria,Aphanothece,NA,Cyanobacteria,399.00,0.22,6532.00,0.08
BUO,7/18/2019,5,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,4641.00,2.5,136684.00,1.61
BUO,7/18/2019,5,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,5090.00,2.75,30357.00,0.36
BUO,7/18/2019,5,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,14616.00,7.89,340797.00,4.02
BUO,7/18/2019,5,Cyanobacteria,Microcystis,NA,Cyanobacteria,2320.00,1.25,55053.00,0.65
BUO,7/18/2019,5,Cyanobacteria,Planktothrix,NA,Cyanobacteria,107588.00,58.04,598887.00,7.06
BUO,7/18/2019,5,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,26348.00,14.21,646676.00,7.62
BUO,7/18/2019,5,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,5060.00,2.73,26825.00,0.32
BUO,7/18/2019,10,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,20350.00,9.37,1155011.00,13.43
BUO,7/18/2019,10,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,10580.00,4.87,86558.00,1.01
BUO,7/18/2019,10,Cyanobacteria,Aphanothece,NA,Cyanobacteria,242.00,0.11,3957.00,0.05
BUO,7/18/2019,10,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,3748.00,1.73,110398.00,1.28
BUO,7/18/2019,10,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,4897.00,2.25,29207.00,0.34
BUO,7/18/2019,10,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,30180.00,13.89,703701.00,8.18
BUO,7/18/2019,10,Cyanobacteria,Microcystis,NA,Cyanobacteria,3265.00,1.5,77457.00,0.9
BUO,7/18/2019,10,Cyanobacteria,Planktothrix,NA,Cyanobacteria,127154.00,58.53,707805.00,8.23
BUO,7/18/2019,10,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,8924.00,4.11,219016.00,2.55
BUO,7/18/2019,10,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,2781.00,1.28,14744.00,0.17
BUO,7/30/2019,0,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,12575.00,2.81,416665.00,10.48
BUO,7/30/2019,0,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,16919.00,3.78,138421.00,3.48
BUO,7/30/2019,0,Cyanobacteria,Aphanothece,NA,Cyanobacteria,667.00,0.15,4365.00,0.11
BUO,7/30/2019,0,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,5430.00,1.21,113285.00,2.85
BUO,7/30/2019,0,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,30180.00,6.74,179999.00,4.53
BUO,7/30/2019,0,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,7431.00,1.66,289526.00,7.29
BUO,7/30/2019,0,Cyanobacteria,Merismopedia,NA,Cyanobacteria,5335.00,1.19,10420.00,0.26
BUO,7/30/2019,0,Cyanobacteria,Microcystis,NA,Cyanobacteria,6669.00,1.49,132303.00,3.33
BUO,7/30/2019,0,Cyanobacteria,Planktothrix,NA,Cyanobacteria,299689.00,66.89,1668222.00,41.98
BUO,7/30/2019,0,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,11270.00,2.52,193625.00,4.87
BUO,7/30/2019,0,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,48233.00,10.77,255706.00,6.43
BUO,7/30/2019,5,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,4558.00,1.23,151041.00,4.76
BUO,7/30/2019,5,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,15719.00,4.24,128600.00,4.05
BUO,7/30/2019,5,Cyanobacteria,Aphanothece,NA,Cyanobacteria,2358.00,0.64,15432.00,0.49
BUO,7/30/2019,5,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,6523.00,1.76,136091.00,4.29
BUO,7/30/2019,5,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,47157.00,12.71,281249.00,8.87
BUO,7/30/2019,5,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,707.00,0.19,27561.00,0.87
BUO,7/30/2019,5,Cyanobacteria,Merismopedia,NA,Cyanobacteria,6916.00,1.86,13508.00,0.43
BUO,7/30/2019,5,Cyanobacteria,Microcystis,NA,Cyanobacteria,5282.00,1.42,104784.00,3.3
BUO,7/30/2019,5,Cyanobacteria,Planktothrix,NA,Cyanobacteria,242512.00,65.35,1349945.00,42.56
BUO,7/30/2019,5,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,13833.00,3.73,237654.00,7.49
BUO,7/30/2019,5,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,22478.00,6.06,119166.00,3.76
BUO,7/30/2019,10,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,16473.00,3.35,545832.00,9.27
BUO,7/30/2019,10,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,26408.00,5.36,216049.00,3.67
BUO,7/30/2019,10,Cyanobacteria,Aphanothece,NA,Cyanobacteria,2264.00,0.46,14815.00,0.25
BUO,7/30/2019,10,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,2767.00,0.56,57716.00,0.98
BUO,7/30/2019,10,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,43988.00,8.94,262349.00,4.46
BUO,7/30/2019,10,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,27162.00,5.52,1058330.00,17.98
BUO,7/30/2019,10,Cyanobacteria,Merismopedia,NA,Cyanobacteria,14084.00,2.86,27508.00,0.47
BUO,7/30/2019,10,Cyanobacteria,Microcystis,NA,Cyanobacteria,9934.00,2.02,197093.00,3.35
BUO,7/30/2019,10,Cyanobacteria,Planktothrix,NA,Cyanobacteria,260708.00,52.96,1451235.00,24.66
BUO,7/30/2019,10,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,42051.00,8.54,722467.00,12.27
BUO,7/30/2019,10,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,39385.00,8,208799.00,3.55
BUO,7/30/2019,10,Cyanobacteria,Romeria,NA,Cyanobacteria,755.00,0.15,18518.00,0.31
BUO,8/13/2019,0,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,30180.00,5.38,160493.00,3.15
BUO,8/13/2019,0,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,17920.00,3.2,351851.00,6.9
BUO,8/13/2019,0,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,106386.00,18.98,845997.00,16.6
BUO,8/13/2019,0,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,314.00,0.06,17458.00,0.34
BUO,8/13/2019,0,Cyanobacteria,Merismopedia,NA,Cyanobacteria,22635.00,4.04,167996.00,3.3
BUO,8/13/2019,0,Cyanobacteria,Microcystis,NA,Cyanobacteria,1100.00,0.2,17554.00,0.34
BUO,8/13/2019,0,Cyanobacteria,Planktothrix,NA,Cyanobacteria,268983.00,47.99,712998.00,13.99
BUO,8/13/2019,0,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,91924.00,16.4,1917741.00,37.63
BUO,8/13/2019,0,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,18674.00,3.33,99000.00,1.94
BUO,8/13/2019,5,Cyanobacteria,Aphanizomenon,NA,Cyanobacteria,5449.00,0.95,275848.00,4.15
BUO,8/13/2019,5,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,30600.00,5.35,162722.00,2.45
BUO,8/13/2019,5,Cyanobacteria,Chroococcus,NA,Cyanobacteria,838.00,0.15,6859.00,0.1
BUO,8/13/2019,5,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,168423.00,29.43,1339329.00,20.15
BUO,8/13/2019,5,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,3773.00,0.66,209490.00,3.15
BUO,8/13/2019,5,Cyanobacteria,Merismopedia,NA,Cyanobacteria,15509.00,2.71,115109.00,1.73
BUO,8/13/2019,5,Cyanobacteria,Microcystis,NA,Cyanobacteria,1048.00,0.18,16718.00,0.25
BUO,8/13/2019,5,Cyanobacteria,Planktothrix,NA,Cyanobacteria,151698.00,26.51,402110.00,6.05
BUO,8/13/2019,5,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,138327.00,24.17,2885793.00,43.42
BUO,8/13/2019,5,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,52627.00,9.2,278999.00,4.2
BUO,8/13/2019,10,Cyanobacteria,Aphanocapsa,NA,Cyanobacteria,1834.00,0.25,9752.00,0.1
BUO,8/13/2019,10,Cyanobacteria,Cuspidothrix,NA,Cyanobacteria,3668.00,0.5,72016.00,0.77
BUO,8/13/2019,10,Cyanobacteria,Cylindrospermopsis,NA,Cyanobacteria,252708.00,34.14,2009577.00,21.55
BUO,8/13/2019,10,Cyanobacteria,Dolichospermum,NA,Cyanobacteria,2620.00,0.35,145479.00,1.56
BUO,8/13/2019,10,Cyanobacteria,Merismopedia,NA,Cyanobacteria,42965.00,5.8,318882.00,3.42
BUO,8/13/2019,10,Cyanobacteria,Planktothrix,NA,Cyanobacteria,212520.00,28.71,563331.00,6.04
BUO,8/13/2019,10,Cyanobacteria,Pseudanabaena,NA,Cyanobacteria,152474.00,20.6,3180931.00,34.11
BUO,8/13/2019,10,Cyanobacteria,Raphidiopsis,NA,Cyanobacteria,62876.00,8.49,333332.00,3.57
BUO,9/5/2019,0, Cyanobacteria ,Aphanocapsa,NA,Cyanobacteria,38714.00,13.51,316727.00,6.86
BUO,9/5/2019,0, Cyanobacteria ,Cylindrospermopsis,NA,Cyanobacteria,66460.00,23.19,396378.00,8.59
BUO,9/5/2019,0, Cyanobacteria ,Merismopedia,NA,Cyanobacteria,33002.00,11.52,515655.00,11.18
BUO,9/5/2019,0, Cyanobacteria ,Planktothrix,NA,Cyanobacteria,74310.00,25.93,787900.00,17.08
BUO,9/5/2019,0, Cyanobacteria ,Pseudanabaena,NA,Cyanobacteria,68943.00,24.06,1692124.00,36.67
BUO,9/5/2019,0, Cyanobacteria ,Raphidiopsis,NA,Cyanobacteria,1781.00,0.62,9444.00,0.2
BUO,9/5/2019,5, Cyanobacteria ,Aphanizomenon,NA,Cyanobacteria,6779.00,3.14,166377.00,2.86
BUO,9/5/2019,5, Cyanobacteria ,Aphanocapsa,NA,Cyanobacteria,35073.00,16.24,286940.00,4.93
BUO,9/5/2019,5, Cyanobacteria ,Cylindrospermopsis,NA,Cyanobacteria,59899.00,27.74,357245.00,6.13
BUO,9/5/2019,5, Cyanobacteria ,Dolichospermum,NA,Cyanobacteria,5600.00,2.59,374529.00,6.43
BUO,9/5/2019,5, Cyanobacteria ,Merismopedia,NA,Cyanobacteria,26801.00,12.41,418763.00,7.19
BUO,9/5/2019,5, Cyanobacteria ,Planktothrix,NA,Cyanobacteria,33010.00,15.29,349999.00,6.01
BUO,9/5/2019,5, Cyanobacteria ,Pseudanabaena,NA,Cyanobacteria,41999.00,19.45,1030813.00,17.69
BUO,9/5/2019,5, Cyanobacteria ,Raphidiopsis,NA,Cyanobacteria,589.00,0.27,3125.00,0.05
BUO,9/5/2019,10, Cyanobacteria ,Aphanizomenon,NA,Cyanobacteria,164.00,0.19,4019.00,0.32
BUO,9/5/2019,10, Cyanobacteria ,Aphanocapsa,NA,Cyanobacteria,24623.00,28.29,201447.00,15.84
BUO,9/5/2019,10, Cyanobacteria ,Cylindrospermopsis,NA,Cyanobacteria,18863.00,21.67,112500.00,8.84
BUO,9/5/2019,10, Cyanobacteria ,Dolichospermum,NA,Cyanobacteria,393.00,0.45,26283.00,2.07
BUO,9/5/2019,10, Cyanobacteria ,Merismopedia,NA,Cyanobacteria,8907.00,10.23,139178.00,10.94
BUO,9/5/2019,10, Cyanobacteria ,Planktothrix,NA,Cyanobacteria,22819.00,26.22,241944.00,19.02
BUO,9/5/2019,10, Cyanobacteria ,Pseudanabaena,NA,Cyanobacteria,9726.00,11.18,238714.00,18.76
BUO,9/5/2019,10, Cyanobacteria ,Raphidiopsis,NA,Cyanobacteria,327.00,0.38,1736.00,0.14
